mpfr 4.2.2-1.1
mpg123 1.33.5-1.1
mpv 1:0.41.0-3.1
mpvqt 1.2.0-1.1
msgpack-c 7.0.1-1.1
mtdev 1.1.7-1.1
mtools 1:4.0.49-1.1
mujs 1.3.9-1.1
nano 9.1-1.1
nano-syntax-highlighting 2025.07.01.r0.g256995b-2
ncurses 6.6-2.1
neon 0.37.1-1
neovim 0.12.3-1.1
netctl 1.29-2
nettle 4.0-1.1
nettle3 3.10.2-2.1
networkmanager 1.56.1-1
networkmanager-openvpn 1.12.5-1.1
networkmanager-qt 6.27.0-1.1
networkmanager-vpn-plugin-openvpn 1.12.5-1.1
nfs-utils 2.9.1-1.1
nfsidmap 2.9.1-1.1
nftables 1:1.1.6-3
nilfs-utils 2.3.0-1.1
noto-fonts 1:2026.06.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1.1
nspr 4.39-1.1
nss 3.125-1.1
nss-mdns 0.15.1-2.1
ocean-sound-theme 6.7.1-1
ocl-icd 2.3.4-1.1
oh-my-zsh-git r7425.7ed475cb5-1
onetbb 2023.0.0-1.1
oniguruma 6.9.10-1.1
openal 1.25.2-1.1
opencl-mesa 3:26.1.2-1
opencore-amr 0.1.6-2.1
opencv 4.13.0-11.1
openexr 3.4.13-2.1
openh264 2.6.0-2.1
openjpeg2 2.5.4-1.1
openjph 0.30.1-1.1
openssh 10.3p1-1.1
openssl 3.6.3-1.1
openvpn 2.7.4-1.1
openxr 1.1.60-1.1
opus 1.6.1-1.1
orc 0.4.42-1.1
os-prober 1.84-1.1
p11-kit 0.26.2-1.1
pacman 7.1.0.r9.g54d9411-4
pacman-contrib 1.13.1-1.2
pacman-mirrorlist 20260610-1
pacutils 0.15.0-3
pahole 1:1.31-2.1
pam 1.7.2-2.1
pambase 20260616-1
pango 1:1.57.1-1.1
pangomm-2.48 2.56.2-1.1
parallel 20260522-1
parted 3.7-1.1
